# 5724 tachve trees from data/bci.tree8.csv.
1,2,4,2,0,2,4,6,4,8,3,3,6,1,2,2,1,5,1,6,11,3,8,12,14,5,2,1,4,3,4,7,4,5,1,8,10,20,9,7,3,8,2,2,8,9,2,7,7,3
1,1,1,3,4,2,2,2,4,5,2,2,0,0,3,5,2,5,3,14,11,5,8,11,17,0,3,1,3,2,8,9,3,3,4,5,14,10,8,4,3,9,5,6,5,10,10,5,4,1
0,2,2,3,13,1,5,4,4,14,12,7,2,5,9,6,10,5,7,9,4,3,7,9,11,1,4,3,0,3,3,2,2,3,2,1,9,5,4,3,4,8,5,6,8,8,3,1,0,1
2,2,4,5,5,15,9,7,19,4,3,10,4,2,4,1,10,11,9,13,7,4,0,5,2,3,5,4,5,1,2,3,12,12,8,16,10,10,6,7,16,4,2,2,7,3,6,1,0,0
0,9,9,8,6,6,0,17,16,5,9,4,5,3,7,4,3,7,15,8,9,0,0,2,6,1,3,7,1,3,8,4,0,6,10,10,13,16,6,0,2,1,5,8,9,9,4,4,5,1
0,4,16,10,7,11,7,20,10,13,27,8,1,6,10,6,14,5,3,4,0,1,0,3,2,2,4,6,5,2,3,5,3,18,8,22,20,17,9,5,10,5,7,7,2,7,2,1,1,0
2,9,9,11,11,8,14,17,14,6,8,8,5,9,16,9,12,10,0,3,0,2,0,0,0,0,2,1,5,4,1,10,7,10,3,12,8,15,4,6,9,10,12,4,6,4,2,4,2,0
4,10,12,10,5,4,12,15,14,13,20,15,7,10,3,11,15,2,2,2,0,1,0,0,2,3,0,7,7,0,8,7,16,19,1,11,7,19,11,12,7,26,12,12,10,3,2,0,1,0
4,18,5,5,5,2,4,6,13,8,10,6,15,5,12,4,7,3,10,2,0,2,0,1,0,1,2,12,5,4,8,9,15,7,4,4,7,11,12,6,6,11,15,13,11,4,1,0,1,0
1,9,17,12,7,5,9,1,6,0,1,1,2,5,0,5,1,4,2,2,0,0,0,5,1,4,6,8,16,6,7,7,14,3,7,2,5,1,3,17,19,21,16,11,10,6,2,5,3,2
4,9,6,15,17,15,23,5,1,1,0,3,3,4,0,4,3,8,12,2,1,0,0,4,1,1,2,4,6,3,21,6,1,3,4,5,2,0,4,7,19,1,16,15,6,4,1,0,0,1
0,4,8,7,15,17,6,0,1,0,0,0,2,1,0,1,4,5,9,1,0,0,0,3,2,1,2,1,2,6,10,5,2,0,1,2,1,1,7,21,7,7,16,5,4,0,2,0,0,1
1,3,5,20,14,10,13,1,2,0,3,0,0,1,0,4,7,1,7,5,0,1,1,1,3,0,1,1,0,4,6,2,2,0,2,9,8,6,1,7,10,19,16,4,3,0,3,1,2,1
4,5,3,4,10,5,17,4,4,5,4,0,0,0,0,0,4,22,28,3,0,0,1,4,14,7,0,3,2,0,6,1,0,0,6,1,0,2,3,4,11,16,3,1,3,3,1,0,0,0
5,2,0,1,3,14,20,29,3,6,3,1,0,0,1,1,1,13,2,0,2,0,0,2,2,6,4,3,2,0,0,0,0,0,0,0,1,3,3,16,17,4,0,1,0,0,3,0,0,1
8,1,3,3,12,14,24,8,3,1,2,1,0,0,0,1,1,5,3,0,2,1,1,1,6,6,2,1,0,0,0,0,0,0,1,0,1,5,3,1,4,1,4,9,1,0,0,0,1,0
5,15,14,10,5,3,1,5,1,2,1,2,0,0,3,1,7,7,2,5,0,5,0,2,3,1,2,0,0,2,0,0,0,0,0,1,7,4,4,0,1,4,11,11,1,3,0,0,3,4
14,8,17,9,1,0,1,0,3,0,1,1,8,3,0,4,6,4,11,1,3,3,6,3,10,3,2,1,0,2,0,0,1,0,0,2,12,4,1,0,0,0,7,3,3,7,4,2,2,3
17,9,5,4,6,11,1,1,2,2,4,2,6,4,3,1,5,4,2,6,3,1,4,0,2,1,0,0,0,1,1,0,1,0,0,0,7,6,0,2,0,1,7,7,17,2,8,6,1,6
17,7,10,6,14,5,2,6,5,1,0,2,5,1,2,10,4,3,4,12,3,2,2,1,1,3,2,0,1,2,1,0,0,0,0,0,0,0,0,1,1,3,4,4,4,3,1,8,4,7
16,5,5,5,6,1,0,0,3,5,10,7,5,4,8,7,5,7,4,11,6,8,7,1,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,1,2,2,1,3,1,0,0,4,4,2
9,4,0,2,4,1,3,4,7,10,8,13,8,4,8,0,11,12,5,10,6,3,4,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,3,3,0,3,5,11,5,0
5,2,1,0,2,1,3,3,4,9,1,5,4,4,2,6,12,13,3,4,1,4,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,2,0,0,4,2,1,1,2
3,0,0,1,1,6,2,3,7,7,5,5,4,5,9,5,4,20,7,6,4,1,3,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,2,14,19,17,1,1,1,2,2,0,1,1
7,3,3,2,1,6,3,6,2,0,2,13,4,1,1,9,10,9,12,5,6,3,2,2,2,0,0,2,0,0,0,2,0,1,1,0,0,1,6,4,5,1,4,1,5,1,2,1,0,1
